Square_Footage,Num_Bedrooms,Num_Bathrooms,Year_Built,Lot_Size,Garage_Size,Neighborhood_Quality,House_Price
3095,4,2,1966,2.90915573531743,0,4,670894.0581247887
3620,5,3,2011,4.892841387446377,1,8,861356.9775590366
1198,3,2,2012,3.866021313671316,2,5,346152.8475921306
3876,2,2,1994,1.4805891871340606,0,9,795928.1818267058
4768,2,1,1978,4.028927784643701,1,9,1017321.3952750646
2643,3,1,1964,4.617346392850859,0,5,572941.4282388942
2323,5,2,1976,3.928476253380998,2,2,548288.2433774915
3804,3,1,1996,3.33517945315992,2,6,832386.3311958439
4996,5,1,2003,1.8681362260159984,0,8,1070454.2752476104
3063,2,2,1956,4.360797909117757,2,3,647832.2075906589
3282,5,2,2001,2.383620284891701,0,4,752791.6325948103
2148,3,1,1983,4.884114443651402,2,10,517515.4060050993
3311,5,2,1971,3.126222666536449,0,9,722603.6896894623
3509,5,1,1977,1.2000714659118603,1,2,749610.4677553453
4932,2,1,1972,4.479598177050891,1,2,1040389.0481357794
2470,2,3,1974,4.014137103737407,0,4,543160.4942000011
3039,4,3,1995,2.9435964389004385,0,3,697780.778011206
3986,2,2,1959,0.5682959702907211,1,4,778486.8427341338
3476,5,2,1950,1.1229597199822745,2,9,712212.2154102818
4291,2,1,1980,1.2714537951974425,1,10,862580.4983858576
4863,2,3,1983,4.7169902521385465,0,9,1047149.2482085732
2356,4,2,1999,2.537661713949125,1,10,558796.2539569193
4102,1,1,1975,1.8242003148670145,2,4,838955.4538986462
1684,5,3,1998,4.052342398611136,1,8,467628.527062253
2755,2,2,1979,4.386386395834772,1,4,616308.9624199027
2097,5,2,1954,3.8670477409935313,1,7,481368.1255215702
2348,4,3,2002,4.676458259794039,2,5,594755.3248280677
2641,2,3,1998,4.564358504754931,0,7,621862.7654183527
1370,2,2,1973,3.1482722082154497,1,4,304730.506229004
706,3,3,1986,3.198970917367241,1,10,199414.94263280893
1039,4,2,2007,4.530640834397175,1,5,322312.8625079516
2765,5,2,1992,4.124866611092257,0,5,652434.7052233267
3414,4,1,2006,3.058092043285729,0,8,748136.4563894381
3842,2,3,1991,4.681797810179267,1,8,863289.3969030941
3195,1,1,1962,3.913258464123758,2,1,663904.9927177994
3428,1,1,2011,1.2350149164007576,1,8,710065.5617561329
3891,5,3,1990,0.8691065834516188,1,3,833111.8086328949
3256,4,1,1968,3.007897588914388,1,7,701609.1002837394
2794,2,2,2019,4.866059049866946,2,4,673649.8960889375
3361,4,1,2022,1.6413599998131725,2,3,762769.5055574658
4634,2,3,1955,1.0165861726307606,0,3,915104.2350135812
4789,3,3,1998,4.118430513351168,1,8,1033816.8247013512
2796,3,1,2000,2.752147921400232,1,2,621460.4905680827
3920,3,3,2002,3.2854620411436466,2,10,881016.0047742793
3940,2,1,1958,3.2170864636809324,0,10,804904.7205412153
2548,3,3,2003,1.7588568549608197,2,6,574912.7662317117
2498,3,1,2013,1.6880195748175963,1,3,558598.6787614333
2582,3,2,1982,3.9219094025711225,1,6,587557.3219128358
3751,5,3,1973,3.782586964242487,2,1,839522.318603536
2180,2,3,2019,1.5799521374148089,1,5,507967.8360673265
1135,5,2,1990,3.943221479675449,1,5,329218.5249164853
4175,3,1,1972,2.633739333223939,1,9,869924.3421379088
2862,1,2,1968,4.767131920055357,0,2,613658.1099473296
503,5,2,2018,1.3750143999425988,0,9,206042.3513164644
3742,2,1,1960,2.4973663478958548,2,5,758977.8818675748
661,4,1,1964,2.1851617998560764,0,3,147601.55157708153
4557,5,3,1958,0.5923436662819634,0,10,935973.5562996916
1163,2,1,1976,2.5879555915899126,0,5,244030.4071335913
1266,2,2,1959,1.931470011065624,0,10,241968.8432665446
4012,3,1,2016,2.0980924148921565,1,5,901000.4882338208
3181,2,2,1995,1.909234408233997,0,2,690319.8868147184
3231,1,1,2017,3.9843620732506784,1,10,731490.1175330897
2625,5,1,2001,4.19192069116559,0,4,625113.6084591298
2207,1,3,1962,4.563921775444422,1,1,492112.0397149675
1446,1,2,2010,0.916251970725337,0,9,316282.80679770344
2885,1,3,1986,3.062680178775142,2,2,625227.045470116
4298,5,2,1984,2.2065194173120206,2,3,919295.8540615214
2665,1,3,1973,0.8445571629509254,2,10,537619.5908056167
3274,5,3,2004,4.012502120992462,2,7,748220.493682927
3174,1,1,1976,4.986091483652099,0,5,678385.989963216
1812,3,3,1993,1.7497358930787972,1,2,415639.6454079276
3677,5,2,1987,4.332174436868986,0,6,847131.2132821754
3369,2,3,1962,3.5842790455070257,1,9,728289.8873118911
4658,5,1,1975,1.1204837121020468,2,3,951484.5473650974
3640,2,2,2006,1.8219915777847584,0,2,788471.7465500822
3801,2,3,1955,2.4604015570542943,1,1,783978.6474904561
1655,2,3,1997,2.5195046179757665,2,5,396277.33998439007
